source_excel_row,mineID,site,country_raw,roman_province_raw,region_raw,latitude_raw,longitude_raw,coordinate_in_broad_spain_envelope,include_spain_subset,selection_rule,selection_reason
678,957,Los Rubiales,Spain,Hispania Baetica,Córdoba,38.48355401,-4.67210267,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
679,958,Los Rudicales,Spain,Hispania Tarraconensis,León,42.659775,-6.784792,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
680,963,Louviño,Spain,Hispania Tarraconensis,Orense,42.06865661,-7.569685714,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
681,964,Lozacio,Spain,Hispania Tarraconensis,Zamorra,41.7122223,-6.028141918,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
682,965,Madarnas,Spain,Hispania Tarraconensis,Orense,42.45472777,-8.086613216,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
683,966,Madereros,Spain,Hispania Baetica,Córdoba,37.85063496,-5.02253464,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
684,967,Majada Hermosa,Spain,Hispania Baetica,Badajoz,38.71271398,-5.29452087,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
685,968,Malapiedra - Las Iruelas,Spain,Hispania Tarraconensis,León,42.467212,-6.336276,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
686,969,Manzanal del Puerto / La Cantera / La Bajada de Lloroso,Spain,Hispania Tarraconensis,León,42.58889496,-6.250651362,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
687,970,Manzaneda / El Follacón,Spain,Hispania Tarraconensis,León,42.25859447,-6.319124815,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
688,971,Manzarnoso II,Spain,Hispania Tarraconensis,León,42.58754942,-6.185997468,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
689,972,La Devesa II,Spain,Hispania Tarraconensis,León,42.59127997,-6.091062034,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
690,973,Manzarnoso I / Peñasturón,Spain,Hispania Tarraconensis,León,42.57455126,-6.161131708,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
691,974,Marco del Abuelo,Spain,Hispania Tarraconensis,Oviedo,43.135688,-6.786064,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
692,977,Mazarrón,Spain,Hispania Tarraconensis,Murcia,37.59847407,-1.329361505,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
693,978,Medela,Spain,Hispania Tarraconensis,Orense,42.452409,-8.10176,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
694,979,Meiriña - La Raña,Spain,Hispania Tarraconensis,"León, Orense, Lugo",42.536257,-6.776897,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
695,980,Melgoto,Spain,Hispania Tarraconensis,León,42.446163,-6.826435,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
696,981,Mesa del Castaño,Spain,Hispania Baetica,Badajoz,38.18640885,-5.56581619,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
697,982,Milagros,Spain,Hispania Tarraconensis,Oviedo,43.34467329,-4.969865368,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
698,983,Míllera,Spain,Hispania Tarraconensis,Oviedo,43.332594,-6.250447,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
699,984,Mina de la Lomba,Spain,Hispania Tarraconensis,León,42.752509,-5.999323,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
700,985,Mina Teuler,Spain,Hispania Baetica,Huelva,37.93227464,-6.28423372,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
701,986,Mina Valquemado,Spain,Hispania Baetica,Jaén,38.24348353,-4.14175311,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
702,987,Minas de Cala,Spain,Hispania Baetica,Huelva,37.94697837,-6.34968618,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
703,988,Mirabueno,Spain,Hispania Baetica,Córdoba,38.06333387,-4.95016262,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
704,989,Miraflores,Spain,Hispania Baetica,Badajoz,38.77056956,-5.52393981,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
705,990,Moeche,Spain,Hispania Tarraconensis,La Coruña,43.54630608,-7.97375636,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
706,993,Moncelos,Spain,Hispania Tarraconensis,Lugo,43.28296659,-7.496621083,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
707,995,Monte dos Castros,Spain,Hispania Tarraconensis,Lugo,43.544684,-7.350896,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
708,996,Monte Los Pedregales,Spain,Hispania Tarraconensis,"León, Orense, Lugo",42.676812,-7.162755,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
709,997,Monte Lourido,Spain,Hispania Tarraconensis,La Coruña,43.227798,-8.338858,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
710,998,Monte Neme,Spain,Hispania Tarraconensis,La Coruña,43.27436828,-8.72642841,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
