mineID,technique_code,technique_name,source_column,source_raw_value,status,confirmed_present
1769,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1770,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1771,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1772,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1775,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1776,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1777,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1778,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1779,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1780,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
132,underground,Underground,techniqueUnderground,1.0,present,True
391,underground,Underground,techniqueUnderground,0.0,absent,False
429,underground,Underground,techniqueUnderground,,missing,
430,underground,Underground,techniqueUnderground,,missing,
431,underground,Underground,techniqueUnderground,0.0,absent,False
432,underground,Underground,techniqueUnderground,,missing,
433,underground,Underground,techniqueUnderground,,missing,
434,underground,Underground,techniqueUnderground,0.0,absent,False
435,underground,Underground,techniqueUnderground,1.0,present,True
436,underground,Underground,techniqueUnderground,0.0,absent,False
437,underground,Underground,techniqueUnderground,,missing,
438,underground,Underground,techniqueUnderground,,missing,
439,underground,Underground,techniqueUnderground,,missing,
440,underground,Underground,techniqueUnderground,0.0,absent,False
441,underground,Underground,techniqueUnderground,,missing,
442,underground,Underground,techniqueUnderground,,missing,
444,underground,Underground,techniqueUnderground,,missing,
445,underground,Underground,techniqueUnderground,1.0,present,True
446,underground,Underground,techniqueUnderground,1.0,present,True
447,underground,Underground,techniqueUnderground,,missing,
448,underground,Underground,techniqueUnderground,1.0,present,True
449,underground,Underground,techniqueUnderground,1.0,present,True
450,underground,Underground,techniqueUnderground,1.0,present,True
451,underground,Underground,techniqueUnderground,,missing,
452,underground,Underground,techniqueUnderground,,missing,
453,underground,Underground,techniqueUnderground,,missing,
454,underground,Underground,techniqueUnderground,,missing,
455,underground,Underground,techniqueUnderground,,missing,
456,underground,Underground,techniqueUnderground,,missing,
457,underground,Underground,techniqueUnderground,,missing,
458,underground,Underground,techniqueUnderground,0.0,absent,False
459,underground,Underground,techniqueUnderground,,missing,
460,underground,Underground,techniqueUnderground,1.0,present,True
461,underground,Underground,techniqueUnderground,,missing,
462,underground,Underground,techniqueUnderground,1.0,present,True
463,underground,Underground,techniqueUnderground,,missing,
464,underground,Underground,techniqueUnderground,,missing,
465,underground,Underground,techniqueUnderground,1.0,present,True
466,underground,Underground,techniqueUnderground,0.0,absent,False
467,underground,Underground,techniqueUnderground,0.0,absent,False
468,underground,Underground,techniqueUnderground,,missing,
469,underground,Underground,techniqueUnderground,0.0,absent,False
470,underground,Underground,techniqueUnderground,,missing,
471,underground,Underground,techniqueUnderground,,missing,
472,underground,Underground,techniqueUnderground,1.0,present,True
473,underground,Underground,techniqueUnderground,0.0,absent,False
474,underground,Underground,techniqueUnderground,,missing,
475,underground,Underground,techniqueUnderground,0.0,absent,False
476,underground,Underground,techniqueUnderground,,missing,
477,underground,Underground,techniqueUnderground,,missing,
478,underground,Underground,techniqueUnderground,0.0,absent,False
479,underground,Underground,techniqueUnderground,1.0,present,True
480,underground,Underground,techniqueUnderground,0.0,absent,False
481,underground,Underground,techniqueUnderground,,missing,
482,underground,Underground,techniqueUnderground,,missing,
483,underground,Underground,techniqueUnderground,,missing,
484,underground,Underground,techniqueUnderground,1.0,present,True
486,underground,Underground,techniqueUnderground,0.0,absent,False
487,underground,Underground,techniqueUnderground,0.0,absent,False
488,underground,Underground,techniqueUnderground,0.0,absent,False
489,underground,Underground,techniqueUnderground,0.0,absent,False
490,underground,Underground,techniqueUnderground,0.0,absent,False
491,underground,Underground,techniqueUnderground,,missing,
492,underground,Underground,techniqueUnderground,,missing,
493,underground,Underground,techniqueUnderground,,missing,
494,underground,Underground,techniqueUnderground,,missing,
495,underground,Underground,techniqueUnderground,,missing,
496,underground,Underground,techniqueUnderground,0.0,absent,False
497,underground,Underground,techniqueUnderground,0.0,absent,False
498,underground,Underground,techniqueUnderground,0.0,absent,False
499,underground,Underground,techniqueUnderground,0.0,absent,False
500,underground,Underground,techniqueUnderground,0.0,absent,False
501,underground,Underground,techniqueUnderground,,missing,
502,underground,Underground,techniqueUnderground,1.0,present,True
503,underground,Underground,techniqueUnderground,,missing,
504,underground,Underground,techniqueUnderground,,missing,
505,underground,Underground,techniqueUnderground,,missing,
506,underground,Underground,techniqueUnderground,1.0,present,True
507,underground,Underground,techniqueUnderground,,missing,
508,underground,Underground,techniqueUnderground,,missing,
509,underground,Underground,techniqueUnderground,,missing,
510,underground,Underground,techniqueUnderground,,missing,
511,underground,Underground,techniqueUnderground,,missing,
512,underground,Underground,techniqueUnderground,,missing,
513,underground,Underground,techniqueUnderground,0.0,absent,False
514,underground,Underground,techniqueUnderground,1.0,present,True
515,underground,Underground,techniqueUnderground,,missing,
516,underground,Underground,techniqueUnderground,,missing,
517,underground,Underground,techniqueUnderground,,missing,
518,underground,Underground,techniqueUnderground,1.0,present,True
519,underground,Underground,techniqueUnderground,0.0,absent,False
520,underground,Underground,techniqueUnderground,,missing,
521,underground,Underground,techniqueUnderground,0.0,absent,False
523,underground,Underground,techniqueUnderground,,missing,
524,underground,Underground,techniqueUnderground,0.0,absent,False
525,underground,Underground,techniqueUnderground,0.0,absent,False
526,underground,Underground,techniqueUnderground,0.0,absent,False
527,underground,Underground,techniqueUnderground,1.0,present,True
528,underground,Underground,techniqueUnderground,0.0,absent,False
529,underground,Underground,techniqueUnderground,,missing,
530,underground,Underground,techniqueUnderground,0.0,absent,False
531,underground,Underground,techniqueUnderground,,missing,
532,underground,Underground,techniqueUnderground,,missing,
533,underground,Underground,techniqueUnderground,,missing,
535,underground,Underground,techniqueUnderground,0.0,absent,False
536,underground,Underground,techniqueUnderground,0.0,absent,False
537,underground,Underground,techniqueUnderground,,missing,
538,underground,Underground,techniqueUnderground,0.0,absent,False
539,underground,Underground,techniqueUnderground,1.0,present,True
540,underground,Underground,techniqueUnderground,,missing,
541,underground,Underground,techniqueUnderground,,missing,
542,underground,Underground,techniqueUnderground,1.0,present,True
543,underground,Underground,techniqueUnderground,0.0,absent,False
545,underground,Underground,techniqueUnderground,1.0,present,True
547,underground,Underground,techniqueUnderground,0.0,absent,False
548,underground,Underground,techniqueUnderground,,missing,
549,underground,Underground,techniqueUnderground,,missing,
550,underground,Underground,techniqueUnderground,0.0,absent,False
551,underground,Underground,techniqueUnderground,,missing,
552,underground,Underground,techniqueUnderground,,missing,
553,underground,Underground,techniqueUnderground,0.0,absent,False
554,underground,Underground,techniqueUnderground,0.0,absent,False
555,underground,Underground,techniqueUnderground,,missing,
556,underground,Underground,techniqueUnderground,0.0,absent,False
557,underground,Underground,techniqueUnderground,,missing,
558,underground,Underground,techniqueUnderground,1.0,present,True
559,underground,Underground,techniqueUnderground,,missing,
560,underground,Underground,techniqueUnderground,0.0,absent,False
561,underground,Underground,techniqueUnderground,,missing,
563,underground,Underground,techniqueUnderground,,missing,
564,underground,Underground,techniqueUnderground,,missing,
565,underground,Underground,techniqueUnderground,0.0,absent,False
566,underground,Underground,techniqueUnderground,,missing,
567,underground,Underground,techniqueUnderground,,missing,
568,underground,Underground,techniqueUnderground,0.0,absent,False
569,underground,Underground,techniqueUnderground,,missing,
570,underground,Underground,techniqueUnderground,0.0,absent,False
571,underground,Underground,techniqueUnderground,,missing,
572,underground,Underground,techniqueUnderground,0.0,absent,False
573,underground,Underground,techniqueUnderground,,missing,
574,underground,Underground,techniqueUnderground,,missing,
575,underground,Underground,techniqueUnderground,,missing,
576,underground,Underground,techniqueUnderground,1.0,present,True
577,underground,Underground,techniqueUnderground,1.0,present,True
578,underground,Underground,techniqueUnderground,,missing,
579,underground,Underground,techniqueUnderground,1.0,present,True
580,underground,Underground,techniqueUnderground,,missing,
581,underground,Underground,techniqueUnderground,,missing,
582,underground,Underground,techniqueUnderground,1.0,present,True
583,underground,Underground,techniqueUnderground,,missing,
584,underground,Underground,techniqueUnderground,,missing,
585,underground,Underground,techniqueUnderground,,missing,
586,underground,Underground,techniqueUnderground,1.0,present,True
587,underground,Underground,techniqueUnderground,,missing,
588,underground,Underground,techniqueUnderground,1.0,present,True
589,underground,Underground,techniqueUnderground,,missing,
590,underground,Underground,techniqueUnderground,,missing,
591,underground,Underground,techniqueUnderground,,missing,
592,underground,Underground,techniqueUnderground,0.0,absent,False
593,underground,Underground,techniqueUnderground,0.0,absent,False
594,underground,Underground,techniqueUnderground,0.0,absent,False
595,underground,Underground,techniqueUnderground,0.0,absent,False
596,underground,Underground,techniqueUnderground,,missing,
597,underground,Underground,techniqueUnderground,,missing,
598,underground,Underground,techniqueUnderground,,missing,
599,underground,Underground,techniqueUnderground,,missing,
601,underground,Underground,techniqueUnderground,0.0,absent,False
